t,S,I,R
0.0,495,5,0
0.018397863426915132,494,6,0
0.16130302406145416,493,7,0
0.32688828170223444,492,8,0
0.3446464712785429,491,9,0
0.3727556053147384,490,10,0
0.4149201115902662,490,9,1
0.6144997655795169,489,10,1
0.6197796198332234,488,11,1
0.7989142916870543,487,12,1
0.9217990059071348,486,13,1
1.0218544524395894,486,12,2
1.1925987146911536,485,13,2
1.3242023717824767,485,12,3
1.4127799117363113,484,13,3
1.508356282667759,484,12,4
1.5661607318873747,483,13,4
1.6267909086256278,482,14,4
1.6419133504695502,481,15,4
1.711718073743669,481,14,5
1.7490797634257607,480,15,5
1.7910245041879038,479,16,5
1.8028042882884323,478,17,5
2.122737707594685,477,18,5
2.203198820854796,476,19,5
2.4252142522993276,475,20,5
2.480152959861796,474,21,5
2.526521027508968,473,22,5
2.540317117572571,472,23,5
2.55511031821072,471,24,5
2.624871844778143,470,25,5
2.669555876388734,470,24,6
2.7320720165688033,470,23,7
2.812251726054505,469,24,7
2.9222728483500386,469,23,8
2.9264961381026073,468,24,8
3.1335951133708186,467,25,8
3.2311454309109435,466,26,8
3.4020498411169546,465,27,8
3.4163071233575866,464,28,8
3.7372119378264905,463,29,8
3.8196143900157398,462,30,8
3.8366503334027677,462,29,9
3.931604425633288,461,30,9
3.9329055191869497,461,29,10
3.9473187039707223,461,28,11
3.951285963284279,461,27,12
4.019371186884766,460,28,12
4.062226302177602,459,29,12
4.089596994498844,458,30,12
4.142640112990141,457,31,12
4.150733353997341,456,32,12
4.1684031301760465,455,33,12
4.283901297400521,454,34,12
4.341516985178629,453,35,12
4.376868311988586,452,36,12
4.4644392121511975,451,37,12
4.555554451276706,450,38,12
4.562853502074306,449,39,12
4.616668148900487,449,38,13
4.655795184553398,448,39,13
4.672178199692856,448,38,14
4.687808826836838,448,37,15
4.768509897451902,447,38,15
4.802839598152175,446,39,15
4.866692533295471,445,40,15
4.931101039968803,444,41,15
4.933887371221224,444,40,16
4.945869313060526,443,41,16
4.99325388245382,442,42,16
5.01962273712876,441,43,16
5.028626364458885,440,44,16
5.134606355676168,440,43,17
5.15394486973468,440,42,18
5.207855568647783,440,41,19
5.21543434348178,439,42,19
5.260373638330616,438,43,19
5.402323348057562,438,42,20
5.407842408029398,437,43,20
5.416087539752884,436,44,20
5.422526921986141,435,45,20
5.44543079995099,434,46,20
5.529171013765348,433,47,20
5.5397922197442835,432,48,20
5.5898003134732335,432,47,21
