dataset,quantity,value
poisson_interarrivals,lambda_true,2.5
poisson_interarrivals,n,300.0
poisson_interarrivals,seed,20260506.0
jump_process,alpha_true,1.2
jump_process,beta_true,0.7
jump_process,T,100.0
jump_process,x0,1.0
jump_process,seed,202.0
ou_process,gamma_true,1.5
ou_process,mu_true,2.0
ou_process,sigma_true,0.8
ou_process,x0,2.0
ou_process,dt,0.01
ou_process,T,50.0
ou_process,seed,303.0
sir_observed_stats,beta_true,0.45
sir_observed_stats,gamma_true,0.18
sir_observed_stats,N,500.0
sir_observed_stats,I0,5.0
sir_observed_stats,R0,0.0
sir_observed_stats,T_max,80.0
sir_observed_stats,seed,404.0
sir_observed_stats,final_size_R,431.0
sir_observed_stats,peak_I,119.0
sir_observed_stats,time_peak,15.571899453772293
